Table Name,Field Name,Dataset Name
dimDates,WeekHierarchy_Week,CRP - Ambulatory App
dimDates,WeekHierarchy_DayOfWeek,CRP - Ambulatory App
dimDates,FullWeekYear,CRP - Ambulatory App
dimDates,FullWeekMonth,CRP - Ambulatory App
dimDates,FullWeekNum,CRP - Ambulatory App
dimDates,IsClosed,CRP - Ambulatory App
dimDates,Admits_EDW,CRP - Ambulatory App
dimDates,PatientDays_EDW,CRP - Ambulatory App
dimDates,IsBusinessDay,CRP - Ambulatory App
dimDates,IsR3,CRP - Ambulatory App
dimDates,IsR6,CRP - Ambulatory App
dimDates,IsR9,CRP - Ambulatory App
dimDates,IsR12,CRP - Ambulatory App
dimDates,IsCY_Fiscal,CRP - Ambulatory App
dimDates,IsLY_Fiscal,CRP - Ambulatory App
dimDates,IsCY,CRP - Ambulatory App
dimDates,IsLY,CRP - Ambulatory App
dimDates,IsYTD,CRP - Ambulatory App
dimDates,IsQTD,CRP - Ambulatory App
dimDates,Date_PriorYear,CRP - Ambulatory App
dimDates,IsBOM,CRP - Ambulatory App
dimDates,IsEOM,CRP - Ambulatory App
dimDates,IsLastClose,CRP - Ambulatory App
dimDates,IsYTD_Calendar,CRP - Ambulatory App
dimDates,R3_Period,CRP - Ambulatory App
dimDates,R6_Period,CRP - Ambulatory App
dimDates,R9_Period,CRP - Ambulatory App
dimDates,R12_Period,CRP - Ambulatory App
dimDates,R3_offset,CRP - Ambulatory App
dimDates,R6_offset,CRP - Ambulatory App
dimDates,R9_offset,CRP - Ambulatory App
dimDates,R12_offset,CRP - Ambulatory App
dimDates,R3_Offset_Calendar,CRP - Ambulatory App
dimDates,R6_Offset_Calendar,CRP - Ambulatory App
dimDates,R9_Offset_Calendar,CRP - Ambulatory App
dimDates,R12_Offset_Calendar,CRP - Ambulatory App
dimDates,R3_Period_Calendar,CRP - Ambulatory App
dimDates,R6_Period_Calendar,CRP - Ambulatory App
dimDates,R9_Period_Calendar,CRP - Ambulatory App
dimDates,R12_Period_Calendar,CRP - Ambulatory App
dimDates,DayName,CRP - Ambulatory App
dimDates,ExcludeLeapYearDay,CRP - Ambulatory App
dimDates,filter_CY,CRP - Ambulatory App
dimDates,filter_LY,CRP - Ambulatory App
dimDates,filter_LLY,CRP - Ambulatory App
dimDates,filter_CurrentAndPrior_Full,CRP - Ambulatory App
dimDates,filter_CY_Phys,CRP - Ambulatory App
dimDates,filter_LY_Phys,CRP - Ambulatory App
dimDates,filter_LLY_Phys,CRP - Ambulatory App
dimDates,filter_Phys_YTD_CYLY,CRP - Ambulatory App
dimDates,filter_Location_YTD_CYLY,CRP - Ambulatory App
dimDates,filter_Location_CYLY,CRP - Ambulatory App
dimDates,FullDateRange_Location,CRP - Ambulatory App
dimDates,FullDateRange_Phys,CRP - Ambulatory App
dimDates,FullDateRange_Census,CRP - Ambulatory App
dimDates,DateRange_PowerApps,CRP - Ambulatory App
dimDates,DateRange_PowerAppsLY,CRP - Ambulatory App
dimDates,IsLLY_Fiscal,CRP - Ambulatory App
dimDates,IsLLLY_Fiscal,CRP - Ambulatory App
dimDates,IsCurrentQuarter,CRP - Ambulatory App
dimDates,IsCurrentQuarter_AnyYear,CRP - Ambulatory App
dimDates,IsmonthMTD,CRP - Ambulatory App
dimDates,IsLast3FullMonths,CRP - Ambulatory App
dimDates,DateHierarchy_Year,CRP - Ambulatory App
dimDates,DateHierarchy_Month,CRP - Ambulatory App
dimDates,DateHierarchy_Quarter,CRP - Ambulatory App
dimDates,DateHierarchy_Day,CRP - Ambulatory App
dimDates,DateHierarchy_MonthName,CRP - Ambulatory App
dimDates,DateHierarchy_QuarterName,CRP - Ambulatory App
dimDates,DateHierarchy_DayName_1,CRP - Ambulatory App
dimDates,DateHierarchy_DayName_3,CRP - Ambulatory App
dimDates,IsHoliday,CRP - Ambulatory App
dimDates,refSequentialDay,CRP - Ambulatory App
dimDates,CompleteWeek_Location,CRP - Ambulatory App
dimDates,R03_PeriodEnding,CRP - Ambulatory App
dimDates,R06_PeriodEnding,CRP - Ambulatory App
dimDates,R09_PeriodEnding,CRP - Ambulatory App
dimDates,R12_PeriodEnding,CRP - Ambulatory App
dimDates,IsHolidayWeek,CRP - Ambulatory App
dimDates,filter_CYLY,CRP - Ambulatory App
dimDates,FullDateRange_Location_CompleteMonth,CRP - Ambulatory App
dimDates,IsBeforeToday,CRP - Ambulatory App
dimDates,IsCompleteMonth,CRP - Ambulatory App
dimDates,IsLastCompleteMonth,CRP - Ambulatory App
dimDates,IsMTD_Calendar,CRP - Ambulatory App
dimDates,R03_Calendar_PeriodEnding,CRP - Ambulatory App
dimDates,R06_Calendar_PeriodEnding,CRP - Ambulatory App
dimDates,R09_Calendar_PeriodEnding,CRP - Ambulatory App
dimDates,R12_Calendar_PeriodEnding,CRP - Ambulatory App
dimDates,strDate,CRP - Ambulatory App
dimDates,DateHierarchy_Period,CRP - Ambulatory App
dimDates,numDays_Calendar,CRP - Ambulatory App
dimDates,numDays_Business,CRP - Ambulatory App
dimLocations_Oracle,Oracle_Mapping,CRP - Ambulatory App
dimLocations_Oracle,LegalEntity_ID,CRP - Ambulatory App
dimLocations_Oracle,LegalEntity_Description,CRP - Ambulatory App
dimLocations_Oracle,Practice_ID,CRP - Ambulatory App
dimLocations_Oracle,Practice_Description,CRP - Ambulatory App
dimLocations_Oracle,Location_ID,CRP - Ambulatory App
dimLocations_Oracle,Location_Description,CRP - Ambulatory App
dimLocations_Oracle,Specialty_ID,CRP - Ambulatory App
dimLocations_Oracle,Specialty_Description,CRP - Ambulatory App
dimLocations_Oracle,Department_ID,CRP - Ambulatory App
dimLocations_Oracle,Department_Description,CRP - Ambulatory App
dimLocations_Oracle,Division,CRP - Ambulatory App
dimLocations_Oracle,Region,CRP - Ambulatory App
dimLocations_Oracle,Market,CRP - Ambulatory App
dimLocations_Oracle,MarketPresident,CRP - Ambulatory App
dimLocations_Oracle,Specialty_Group,CRP - Ambulatory App
dimLocations_Oracle,StateAbbrev,CRP - Ambulatory App
dimLocations_Oracle,State,CRP - Ambulatory App
dimLocations_Oracle,StartDate,CRP - Ambulatory App
dimLocations_Oracle,EndDate,CRP - Ambulatory App
dimLocations_Oracle,IsPrac_00_22,CRP - Ambulatory App
dimLocations_Oracle,IsPrac_11_22,CRP - Ambulatory App
dimLocations_Oracle,IsHS_Topside,CRP - Ambulatory App
dimLocations_Oracle,Prac00_22andTopsideHS,CRP - Ambulatory App
dimLocations_Oracle,Prac11_22andTopsideHS,CRP - Ambulatory App
dimLocations_Oracle,IsGA,CRP - Ambulatory App
dimLocations_Oracle,SameUnitStatus_R12,CRP - Ambulatory App
dimLocations_Oracle,IsTelehealth,CRP - Ambulatory App
dimLocations_Oracle,HasBDModel,CRP - Ambulatory App
dimLocations_Oracle,HospCode,CRP - Ambulatory App
dimLocations_Oracle,FilterPracticeID,CRP - Ambulatory App
dimLocations_Oracle,Market_EDW,CRP - Ambulatory App
dimLocations_Oracle,Market_Edit,CRP - Ambulatory App
dimLocations_Oracle,IsOverhead,CRP - Ambulatory App
dimLocations_Oracle,LocationFilter,CRP - Ambulatory App
dimLocations_Oracle,LocationFilter_Expanded,CRP - Ambulatory App
dimLocations_Oracle,Region_EDW,CRP - Ambulatory App
dimLocations_Oracle,Practice_Merge,CRP - Ambulatory App
dimLocations_Oracle,Specialty_Description_original,CRP - Ambulatory App
dimLocations_Oracle,Specialty_Group_original,CRP - Ambulatory App
dimLocations_Oracle,State_Edit,CRP - Ambulatory App
dimLocations_Oracle,StateAbbrev_Edit,CRP - Ambulatory App
dimLocations_Oracle,MarketDirector,CRP - Ambulatory App
dimLocations_Oracle,PracticeGroup,CRP - Ambulatory App
dimLocations_Oracle,Location_Merge,CRP - Ambulatory App
dimLocations_Oracle,HS_Type,CRP - Ambulatory App
dimLocations_Oracle,TaxID,CRP - Ambulatory App
dimLocations_Oracle,HospitalSystem,CRP - Ambulatory App
dimLocations_Oracle,HospitalSubSystem,CRP - Ambulatory App
dimLocations_Oracle,Territory_Level1,CRP - Ambulatory App
dimLocations_Oracle,Territory_Level2,CRP - Ambulatory App
dimLocations_Oracle,Specialty_Edit,CRP - Ambulatory App
dimLocations_Oracle_Alt,Practice_ID,CRP - Ambulatory App
dimLocations_Oracle_Alt,Oracle_Mapping,CRP - Ambulatory App
dimLocations_Oracle_Alt,Practice_Description,CRP - Ambulatory App
dimLocations_Oracle_Alt,Specialty_Description,CRP - Ambulatory App
dimMetrics,refBatch,CRP - Ambulatory App
dimMetrics,idxSort,CRP - Ambulatory App
dimMetrics,MetricName,CRP - Ambulatory App
dimMetrics,SortMetricName,CRP - Ambulatory App
dimMetrics,IsCalc,CRP - Ambulatory App
dimMetrics,refFormat,CRP - Ambulatory App
dimMetrics,srcMetricType,CRP - Ambulatory App
dimMetrics,srcMetricName,CRP - Ambulatory App
dimMetrics,CurrentPeriod_val,CRP - Ambulatory App
dimMetrics,LastYear_val,CRP - Ambulatory App
dimMetrics,LastMonth_val,CRP - Ambulatory App
dimMetrics,Target_val,CRP - Ambulatory App
dimMetrics,CurrentPeriod_fmt,CRP - Ambulatory App
dimMetrics,LastYear_fmt,CRP - Ambulatory App
dimMetrics,LastMonth_fmt,CRP - Ambulatory App
dimMetrics,Target_fmt,CRP - Ambulatory App
dimMetrics,VarianceToPriorMonth_fmt,CRP - Ambulatory App
dimMetrics,VarianceToPriorYear,CRP - Ambulatory App
dimMetrics,Benchmark_val,CRP - Ambulatory App
dimMetrics,Benchmark_fmt,CRP - Ambulatory App
dimMetrics,VarianceToBenchmark_fmt,CRP - Ambulatory App
dimMetrics,VarianceToBenchmarkPercent,CRP - Ambulatory App
dimMetrics,VarianceToTarget_val,CRP - Ambulatory App
dimMetrics,VarianceToTarget_fmt,CRP - Ambulatory App
dimMetrics,VarianceToBenchmark_val,CRP - Ambulatory App
dimMetrics,VarianceToPriorMonth_val,CRP - Ambulatory App
dimMetrics,VarianceToPriorYear_val,CRP - Ambulatory App
Date,Date,CRP - Ambulatory Scheduling
Date,Day of Month,CRP - Ambulatory Scheduling
Date,Day #,CRP - Ambulatory Scheduling
Date,Month,CRP - Ambulatory Scheduling
Date,Month #,CRP - Ambulatory Scheduling
Date,Quarter,CRP - Ambulatory Scheduling
Date,Week,CRP - Ambulatory Scheduling
Date,Week Start Date,CRP - Ambulatory Scheduling
Date,Year,CRP - Ambulatory Scheduling
Date,Day Name,CRP - Ambulatory Scheduling
Date,Exclude Weekend?,CRP - Ambulatory Scheduling
Date,Holiday,CRP - Ambulatory Scheduling
Date,Holiday Note,CRP - Ambulatory Scheduling
Date,Mednax Holiday?,CRP - Ambulatory Scheduling
Date,Day,CRP - Ambulatory Scheduling
Date,Distinct Count Date,CRP - Ambulatory Scheduling
Date,Distinct Count Date NO HOLIDAY,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Oracle_Mapping,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,LegalEntity_ID,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,LegalEntity_Description,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Practice_ID,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Practice_Description,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Location_ID,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Location_Description,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Specialty_ID,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Specialty_Description,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Department_ID,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Department_Description,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Division,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Region,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Market,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,MarketPresident,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Specialty_Group,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,StateAbbrev,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,State,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,StartDate,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,EndDate,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,IsPrac_00_22,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,IsPrac_11_22,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,IsHS_Topside,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Prac00_22andTopsideHS,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Prac11_22andTopsideHS,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,IsGA,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,SameUnitStatus_R12,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,IsTelehealth,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,HasBDModel,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,HospCode,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,FilterPracticeID,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Market_EDW,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Market_Edit,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,IsOverhead,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,LocationFilter,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,LocationFilter_Expanded,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Region_EDW,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Practice_Merge,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,StateAbbrev_Edit,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,State_Edit,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Specialty_Description_original,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Specialty_Group_original,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,MarketDirector,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,PracticeGroup,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Location_Merge,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,HS_Type,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,TaxID,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,HospitalSystem,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,HospitalSubSystem,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Territory_Level1,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,Territory_Level2,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,PracticeTypeGroup,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,SameUnitStatus_MTD,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,SameUnitStatus_QTD,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,SameUnitStatus_YTD,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,StartDate_PDX,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,EndDate_PDX,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,SameUnitStatus_R12_PDX,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,SameUnitStatus_MTD_PDX,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,SameUnitStatus_QTD_PDX,CRP - Ambulatory Scheduling
dimOracle_AttributesDailyBuild,SameUnitStatus_YTD_PDX,CRP - Ambulatory Scheduling
dimPayer_ByCode,Payer_ID,CRP - Ambulatory Scheduling
dimPayer_ByCode,Contract_ID,CRP - Ambulatory Scheduling
dimPayer_ByCode,Contract_Payer_ID,CRP - Ambulatory Scheduling
dimPayer_ByCode,Payer_Code,CRP - Ambulatory Scheduling
dimPayer_ByCode,Contract_Code,CRP - Ambulatory Scheduling
dimPayer_ByCode,Payer_Name,CRP - Ambulatory Scheduling
dimPayer_ByCode,Payer_Alias_Name,CRP - Ambulatory Scheduling
dimPayer_ByCode,Contract_Name,CRP - Ambulatory Scheduling
dimPayer_ByCode,ContractCodeAndName,CRP - Ambulatory Scheduling
dimPayer_ByCode,Payer_Financial_Class_Code,CRP - Ambulatory Scheduling
dimPayer_ByCode,Payer_Class_Code,CRP - Ambulatory Scheduling
dimPayer_ByCode,Payer_Network_Code,CRP - Ambulatory Scheduling
dimPayer_ByCode,Payer_Product_Code,CRP - Ambulatory Scheduling
dimPayer_ByCode,Major_Payer_Code,CRP - Ambulatory Scheduling
dimPayer_ByCode,Payer_Class_Edit,CRP - Ambulatory Scheduling
dimProviders,refPhysician,CRP - Ambulatory Scheduling
dimProviders,Employee_Name,CRP - Ambulatory Scheduling
dimProviders,NPID,CRP - Ambulatory Scheduling
dimProviders,Provider_Type,CRP - Ambulatory Scheduling
dimProviders,Provider_Type_Description,CRP - Ambulatory Scheduling
dimProviders,Specialty_Description,CRP - Ambulatory Scheduling
dimProviders,Professional_Title,CRP - Ambulatory Scheduling
dimProviders,Position_Title,CRP - Ambulatory Scheduling
dimProviders,Employee_Type_Desc,CRP - Ambulatory Scheduling
WorkingData_Appt,Appt_ID,CRP - Ambulatory Scheduling
WorkingData_Appt,ServiceDate,CRP - Ambulatory Scheduling
WorkingData_Appt,Appt_Start,CRP - Ambulatory Scheduling
WorkingData_Appt,Appt_End,CRP - Ambulatory Scheduling
WorkingData_Appt,refPhysician,CRP - Ambulatory Scheduling
WorkingData_Appt,Person_ID,CRP - Ambulatory Scheduling
WorkingData_Appt,appt_status_text,CRP - Ambulatory Scheduling
WorkingData_Appt,Event_Desc,CRP - Ambulatory Scheduling
WorkingData_Appt,Status_Kept,CRP - Ambulatory Scheduling
WorkingData_Appt,Status_Cancelled,CRP - Ambulatory Scheduling
WorkingData_Appt,Status_NoShow,CRP - Ambulatory Scheduling
WorkingData_Appt,Status_Expected,CRP - Ambulatory Scheduling
WorkingData_Appt,Status_Pending,CRP - Ambulatory Scheduling
WorkingData_Appt,Status_Hierarchy,CRP - Ambulatory Scheduling
WorkingData_Appt,TypeFacility2_IsFacility,CRP - Ambulatory Scheduling
WorkingData_Appt,TypeFacility2_IsNonFacility,CRP - Ambulatory Scheduling
WorkingData_Appt,TypeFacility3_IsTelehealth,CRP - Ambulatory Scheduling
WorkingData_Appt,Oracle_Mapping,CRP - Ambulatory Scheduling
WorkingData_Appt,Start of Hour,CRP - Ambulatory Scheduling
WorkingData_Appt,UniquePatientsConcatenate,CRP - Ambulatory Scheduling
WorkingData_Appt,_Max Status_Hierarchy,CRP - Ambulatory Scheduling
WorkingData_Appt,_Is Max,CRP - Ambulatory Scheduling
WorkingData_Appt,Appt_Duration,CRP - Ambulatory Scheduling
WorkingData_Appt,PracticeName_NG,CRP - Ambulatory Scheduling
WorkingData_Appt,LocationName,CRP - Ambulatory Scheduling
WorkingData_Appt,PlaceOfService_ID,CRP - Ambulatory Scheduling
WorkingData_Appt,PlaceOfService_Desc,CRP - Ambulatory Scheduling
WorkingData_Appt,TypeFacility3_IsFacility,CRP - Ambulatory Scheduling
WorkingData_Appt,TypeFacility3_IsNonFacility,CRP - Ambulatory Scheduling
WorkingData_Appt,ReasonForCancellation,CRP - Ambulatory Scheduling
WorkingData_Appt,ReasonForRescheduling,CRP - Ambulatory Scheduling
WorkingData_Appt,User_CreatedBy,CRP - Ambulatory Scheduling
WorkingData_Appt,Telehealth,CRP - Ambulatory Scheduling
WorkingData_Appt,Exclude Delivered?,CRP - Ambulatory Scheduling
WorkingData_Appt,PatientName,CRP - Ambulatory Scheduling
WorkingData_Appt,PayerCode_LatestRelativeToToday,CRP - Ambulatory Scheduling
WorkingData_Appt,PayerCode_LatestRelativeToAppt,CRP - Ambulatory Scheduling
WorkingData_Appt,Appointments,CRP - Ambulatory Scheduling
WorkingData_Appt,Kept Goal,CRP - Ambulatory Scheduling
WorkingData_Appt,No Show Goal,CRP - Ambulatory Scheduling
WorkingData_Appt,Cancelled Goal,CRP - Ambulatory Scheduling
WorkingData_Appt,Specialty Kept %,CRP - Ambulatory Scheduling
WorkingData_Appt,Unique Patients,CRP - Ambulatory Scheduling
WorkingData_Appt,Unique Patients Kept,CRP - Ambulatory Scheduling
WorkingData_Appt,Amb Kept %,CRP - Ambulatory Scheduling
WorkingData_Appt,Amb No Show %,CRP - Ambulatory Scheduling
WorkingData_Appt,Amb Cancelled %,CRP - Ambulatory Scheduling
WorkingData_Appt,_CRP Kept % NUMERATOR,CRP - Ambulatory Scheduling
WorkingData_Appt,_CRP % DENOMINATOR,CRP - Ambulatory Scheduling
WorkingData_Appt,_CRP No Show % NUMERATOR,CRP - Ambulatory Scheduling
WorkingData_Appt,_CRP Cancelled % NUMERATOR,CRP - Ambulatory Scheduling
WorkingData_Appt,Kept %,CRP - Ambulatory Scheduling
WorkingData_Appt,No Show %,CRP - Ambulatory Scheduling
WorkingData_Appt,Cancelled %,CRP - Ambulatory Scheduling
WorkingData_Appt,Specialty No Show %,CRP - Ambulatory Scheduling
WorkingData_Appt,Specialty Cancelled %,CRP - Ambulatory Scheduling
WorkingData_Appt,Appointments Kept,CRP - Ambulatory Scheduling
WorkingData_Appt,_MIN APPT START,CRP - Ambulatory Scheduling
WorkingData_Appt,_MAX APPT START,CRP - Ambulatory Scheduling
WorkingData_Appt,_DIFF MIN/MAX START,CRP - Ambulatory Scheduling
WorkingData_Appt,Average Duration,CRP - Ambulatory Scheduling
WorkingData_Appt,% Open Days,CRP - Ambulatory Scheduling
WorkingData_Appt,_AvgDiff,CRP - Ambulatory Scheduling
Date,Date,CRP - Ambulatory Patient Survey
Date,Day,CRP - Ambulatory Patient Survey
Date,Day #,CRP - Ambulatory Patient Survey
Date,Day Name,CRP - Ambulatory Patient Survey
Date,Exclude Weekend?,CRP - Ambulatory Patient Survey
Date,Month,CRP - Ambulatory Patient Survey
Date,Month #,CRP - Ambulatory Patient Survey
Date,Quarter,CRP - Ambulatory Patient Survey
Date,Week Start Date,CRP - Ambulatory Patient Survey
Date,Year,CRP - Ambulatory Patient Survey
Date,Week,CRP - Ambulatory Patient Survey
Date,Holiday,CRP - Ambulatory Patient Survey
Date,Holiday Note,CRP - Ambulatory Patient Survey
Date,Mednax Holiday?,CRP - Ambulatory Patient Survey
dimOracle_AttributesDailyBuild,Oracle_Mapping,CRP - Ambulatory Patient Survey
dimOracle_AttributesDailyBuild,LegalEntity_ID,CRP - Ambulatory Patient Survey
dimOracle_AttributesDailyBuild,LegalEntity_Description,CRP - Ambulatory Patient Survey
dimOracle_AttributesDailyBuild,Practice_ID,CRP - Ambulatory Patient Survey
dimOracle_AttributesDailyBuild,Practice_Description,CRP - Ambulatory Patient Survey
dimOracle_AttributesDailyBuild,Location_ID,CRP - Ambulatory Patient Survey
dimOracle_AttributesDailyBuild,Location_Description,CRP - Ambulatory Patient Survey
dimOracle_AttributesDailyBuild,Specialty_ID,CRP - Ambulatory Patient Survey
